#,Group,# Variety,Task,Question,TestGen,# bugs fixed,time
1,Academic,1,1,Budget,UTG,3,30:00:00
1,Academic,1,2,JSWeaponData,Evo,2,30:00:00
2,Academic,3,1,JSWeaponData,UTG,2,30:00:00
2,Academic,3,2,Budget,Evo,0,30:00:00
3,Academic,1,1,Budget,UTG,3,30:00:00
3,Academic,1,2,JSWeaponData,Evo,4,29:55:00
4,Academic,2,1,Budget,Evo,1,30:00:00
4,Academic,2,2,JSWeaponData,UTG,3,30:00:00
5,Industry,4,1,JSWeaponData,Evo,4,19:50:00
5,Industry,4,2,Budget,UTG,4,29:30:00
6,Academic,2,1,Budget,Evo,4,13:30:00
6,Academic,2,2,JSWeaponData,UTG,4,16:33:00
7,Academic,3,1,JSWeaponData,UTG,4,27:01:00
7,Academic,3,2,Budget,Evo,1,30:00:00
8,Academic,4,1,JSWeaponData,Evo,3,30:00:00
8,Academic,4,2,Budget,UTG,4,24:03:00
9,Industry,3,1,JSWeaponData,UTG,4,9:13:00
9,Industry,3,2,Budget,Evo,3,30:00:00
10,Academic,4,1,JSWeaponData,Evo,4,20:09:00
10,Academic,4,2,Budget,UTG,4,19:38:00
11,Academic,1,1,Budget,UTG,4,29:20:00
11,Academic,1,2,JSWeaponData,Evo,4,9:55:00
12,Academic,2,1,Budget,Evo,3,30:00:00
12,Academic,2,2,JSWeaponData,UTG,4,19:38:00
13,Academic,3,1,JSWeaponData,UTG,3,30:00:00
13,Academic,3,2,Budget,Evo,3,30:00:00
14,Industry,2,1,Budget,Evo,4,26:53:00
14,Industry,2,2,JSWeaponData,UTG,4,7:06:00
15,Academic,4,1,JSWeaponData,Evo,3,30:00:00
15,Academic,4,2,Budget,UTG,4,26:40:00
16,Academic,1,1,Budget,UTG,3,30:00:00
16,Academic,1,2,JSWeaponData,Evo,4,13:08:00
17,Industry,1,1,Budget,UTG,4,26:43:00
17,Industry,1,2,JSWeaponData,Evo,4,14:40:00
18,Industry,2,1,Budget,Evo,3,30:00:00
18,Industry,2,2,JSWeaponData,UTG,4,14:35:00
19,Academic,4,1,JSWeaponData,Evo,4,16:59:00
19,Academic,4,2,Budget,UTG,3,30:00:00
20,Industry,3,1,JSWeaponData,UTG,4,7:04:00
20,Industry,3,2,Budget,Evo,3,30:00:00
21,Academic,2,1,Budget,Evo,3,30:00:00
21,Academic,2,2,JSWeaponData,UTG,4,16:19:00
22,Academic,3,1,JSWeaponData,UTG,4,25:28:00
22,Academic,3,2,Budget,Evo,2,30:00:00
23,Industry,1,1,Budget,UTG,4,23:48:00
23,Industry,1,2,JSWeaponData,Evo,4,10:38:00
24,Academic,1,1,Budget,UTG,3,30:00:00
24,Academic,1,2,JSWeaponData,Evo,3,30:00:00
25,Industry,4,1,JSWeaponData,Evo,4,19:57:00
25,Industry,4,2,Budget,UTG,4,22:41:00
26,Industry,2,1,Budget,Evo,2,30:00:00
26,Industry,2,2,JSWeaponData,UTG,4,14:32:00
27,Industry,3,1,JSWeaponData,UTG,4,19:35:00
27,Industry,3,2,Budget,Evo,4,20:44:00
28,Academic,2,1,Budget,Evo,4,25:54:00
28,Academic,2,2,JSWeaponData,UTG,4,9:52:00
29,Industry,4,1,JSWeaponData,Evo,4,19:55:00
29,Industry,4,2,Budget,UTG,4,23:30:00
30,Academic,4,1,JSWeaponData,Evo,3,30:00:00
30,Academic,4,2,Budget,UTG,4,27:22:00
31,Academic,3,1,JSWeaponData,UTG,4,17:02:00
31,Academic,3,2,Budget,Evo,4,28:40:00
32,Industry,1,1,Budget,UTG,3,30:00:00
32,Industry,1,2,JSWeaponData,Evo,4,28:40:00
